Pprime,P2prime,Zs,Zt,cs2,ghost_ok,grad_ok
-2.000,-2.000,-2.000,-6.000,,0,0
-2.000,-1.900,-2.000,-5.800,,0,0
-2.000,-1.800,-2.000,-5.600,,0,0
-2.000,-1.700,-2.000,-5.400,,0,0
-2.000,-1.600,-2.000,-5.200,,0,0
-2.000,-1.500,-2.000,-5.000,,0,0
-2.000,-1.400,-2.000,-4.800,,0,0
-2.000,-1.300,-2.000,-4.600,,0,0
-2.000,-1.200,-2.000,-4.400,,0,0
-2.000,-1.100,-2.000,-4.200,,0,0
-2.000,-1.000,-2.000,-4.000,,0,0
-2.000,-0.900,-2.000,-3.800,,0,0
-2.000,-0.800,-2.000,-3.600,,0,0
-2.000,-0.700,-2.000,-3.400,,0,0
-2.000,-0.600,-2.000,-3.200,,0,0
-2.000,-0.500,-2.000,-3.000,,0,0
-2.000,-0.400,-2.000,-2.800,,0,0
-2.000,-0.300,-2.000,-2.600,,0,0
-2.000,-0.200,-2.000,-2.400,,0,0
-2.000,-0.100,-2.000,-2.200,,0,0
-2.000,0.000,-2.000,-2.000,,0,0
-2.000,0.100,-2.000,-1.800,,0,0
-2.000,0.200,-2.000,-1.600,,0,0
-2.000,0.300,-2.000,-1.400,,0,0
-2.000,0.400,-2.000,-1.200,,0,0
-2.000,0.500,-2.000,-1.000,,0,0
-2.000,0.600,-2.000,-0.800,,0,0
-2.000,0.700,-2.000,-0.600,,0,0
-2.000,0.800,-2.000,-0.400,,0,0
-2.000,0.900,-2.000,-0.200,,0,0
-2.000,1.000,-2.000,0.000,,1,0
-2.000,1.100,-2.000,0.200,,1,0
-2.000,1.200,-2.000,0.400,,1,0
-2.000,1.300,-2.000,0.600,,1,0
-2.000,1.400,-2.000,0.800,,1,0
-2.000,1.500,-2.000,1.000,,1,0
-2.000,1.600,-2.000,1.200,,1,0
-2.000,1.700,-2.000,1.400,,1,0
-2.000,1.800,-2.000,1.600,,1,0
-2.000,1.900,-2.000,1.800,,1,0
-2.000,2.000,-2.000,2.000,,1,0
-1.900,-2.000,-1.900,-5.900,,0,0
-1.900,-1.900,-1.900,-5.700,,0,0
-1.900,-1.800,-1.900,-5.500,,0,0
-1.900,-1.700,-1.900,-5.300,,0,0
-1.900,-1.600,-1.900,-5.100,,0,0
-1.900,-1.500,-1.900,-4.900,,0,0
-1.900,-1.400,-1.900,-4.700,,0,0
-1.900,-1.300,-1.900,-4.500,,0,0
-1.900,-1.200,-1.900,-4.300,,0,0
-1.900,-1.100,-1.900,-4.100,,0,0
-1.900,-1.000,-1.900,-3.900,,0,0
-1.900,-0.900,-1.900,-3.700,,0,0
-1.900,-0.800,-1.900,-3.500,,0,0
-1.900,-0.700,-1.900,-3.300,,0,0
-1.900,-0.600,-1.900,-3.100,,0,0
-1.900,-0.500,-1.900,-2.900,,0,0
-1.900,-0.400,-1.900,-2.700,,0,0
-1.900,-0.300,-1.900,-2.500,,0,0
-1.900,-0.200,-1.900,-2.300,,0,0
-1.900,-0.100,-1.900,-2.100,,0,0
-1.900,0.000,-1.900,-1.900,,0,0
-1.900,0.100,-1.900,-1.700,,0,0
-1.900,0.200,-1.900,-1.500,,0,0
-1.900,0.300,-1.900,-1.300,,0,0
-1.900,0.400,-1.900,-1.100,,0,0
-1.900,0.500,-1.900,-0.900,,0,0
-1.900,0.600,-1.900,-0.700,,0,0
-1.900,0.700,-1.900,-0.500,,0,0
-1.900,0.800,-1.900,-0.300,,0,0
-1.900,0.900,-1.900,-0.100,,0,0
-1.900,1.000,-1.900,0.100,,1,0
-1.900,1.100,-1.900,0.300,,1,0
-1.900,1.200,-1.900,0.500,,1,0
-1.900,1.300,-1.900,0.700,,1,0
-1.900,1.400,-1.900,0.900,,1,0
